ProductID,Description,Color,Type,Location,Date,OrderNumber
CO2024GAL,GALVANIZED G90 ,GALVANIZED G90,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024GAV,GALVALUME ,GALVALUME,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024HB,HAWAIIN BLUE ,HAWAIIN BLUE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024IV,IVORY ,IVORY,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024IVG,IVY GREEN ,IVY GREEN,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024LS,LIGHT STONE ,LIGHT STONE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024MBB,MATTE BLACK ,MATTE BLACK,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024MBS,MATTE BURNISHED SLATE ,MATTE BURNISHED SLATE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024MBW,MATTE BRIGHT WHITE ,MATTE BRIGHT WHITE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024MCB,MATTE COCOA BROWN ,MATTE COCOA BROWN,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024MCC,MATTE CHARCOAL ,MATTE CHARCOAL,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024MLS,MATTE LIGHT STONE ,MATTE LIGHT STONE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024MTT,MATTE TAUPE ,MATTE TAUPE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024OB,OCEAN BLUE ,OCEAN BLUE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024OTG,OLD TOWN GRAY ,OLD TOWN GRAY,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024PG,PEWTER GRAY ,PEWTER GRAY,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024QQ,QUOTE ,QUOTE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024RR,RURAL RED ,RURAL RED,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024RTC,REAL TREE CAMO ,REAL TREE CAMO,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024ST,SADDLE TAN ,SADDLE TAN,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024T,TAUPE ,TAUPE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024TAN,TAN ,TAN,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024TBK,TEXTURED BLACK ,TEXTURED BLACK,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026AG,ASH GRAY ,ASH GRAY,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026ARW,ARCTIC WHITE ,ARCTIC WHITE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026AW,ALAMO WHITE ,ALAMO WHITE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026B,BROWN ,BROWN,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026BER,BERRY ,BERRY,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026BK,BLACK ,BLACK,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026BR,BRICK RED ,BRICK RED,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026BS,BURNISHED SLATE ,BURNISHED SLATE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026BUR,BURGUNDY ,BURGUNDY,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026BW,BONE WHITE ,BONE WHITE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CAG,CRINKLE ASH GRAY ,CRINKLE ASH GRAY,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CB,CRINKLE BROWN ,CRINKLE BROWN,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CBK,CRINKLE BLACK ,CRINKLE BLACK,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CBS,CRINKLE BURNISHED SLATE ,CRINKLE BURNISHED SLATE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CC,CRINKLE CHARCOAL ,CRINKLE CHARCOAL,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CG,CHARCOAL GRAY ,CHARCOAL GRAY,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CH,CHARCOAL ,CHARCOAL,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CM,COPPER METALLIC ,COPPER METALLIC,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CRB,CRINKLE BURGUNDY ,CRINKLE BURGUNDY,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CRG,CRINKLE GREEN ,CRINKLE GREEN,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CRR,CRINKLE RED ,CRINKLE RED,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CT,CRINKLE TAUPE ,CRINKLE TAUPE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026CW,CRINKLE WHITE ,CRINKLE WHITE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026DG,DARK GRAY ,DARK GRAY,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026DR,DARK RED ,DARK RED,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026EVR,EVERGREEN ,EVERGREEN,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026GAB,GALLERY BLUE ,GALLERY BLUE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026GAL,GALVANIZED G90 ,GALVANIZED G90,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026GAV,GALVALUME ,GALVALUME,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026HB,HAWAIIN BLUE ,HAWAIIN BLUE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026IV,IVORY ,IVORY,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026IVG,IVY GREEN ,IVY GREEN,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026LS,LIGHT STONE ,LIGHT STONE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026MBB,MATTE BLACK ,MATTE BLACK,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026MBS,MATTE BURNISHED SLATE ,MATTE BURNISHED SLATE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2026MBW,MATTE BRIGHT WHITE ,MATTE BRIGHT WHITE,26GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
